name,reading,biography,period
ユリウス・カエサル,ゆりうす・かえさる,紀元前100年~44年。古代ローマの政治家、軍人、文学者。ガリア戦争でガリア(現在のフランス)を征服し、ローマの領土を大幅に拡大した。「来た、見た、勝った」(ベニ・ビディ・ビチ)の名言で知られる。ポンペイウス、クラッススとの第一回三頭政治を経て、ルビコン川を渡ってローマに進軍、内戦に勝利して独裁官となった。軍事面では機動力と工兵技術を重視し、アレシアの戦いでは二重の包囲陣を築いてベルキンゲトリクスを破った。『ガリア戦記』『内乱記』を著し、軍事史の貴重な記録を残す。暦の改革(ユリウス暦)、土地法の制定など内政でも業績を残したが、ブルータスらによって暗殺された。ローマ帝国の基礎を築いた偉大な指導者。,古代ローマ
ハンニバル,はんにばる,紀元前247年~183年頃。古代カルタゴの軍事指導者。第二次ポエニ戦争でローマと戦い、カンナエの戦いでローマ軍を壊滅させた戦術の天才。幼い頃に父ハミルカルから「ローマに復讐する」ことを誓わされ、生涯をローマとの戦いに捧げた。象を含む軍勢でアルプス山脈を越えてイタリア半島に侵入する大胆な作戦を実行。カンナエの戦いでは包囲殲滅戦術(ハンニバル戦術)を用いて8万のローマ軍を殲滅し、戦術史に不朽の名を刻んだ。15年間イタリア半島に留まってローマを脅かしたが、本国への援軍が断たれ、最終的にザマの戦いでスキピオに敗北。亡命先で自殺したが、「ローマの門前の敵」として最も恐れられた将軍の一人。,古代
ナポレオン・ボナパルト,なぽれおん・ぼなぱると,1769年~1821年。フランスの軍人、政治家、皇帝。フランス革命後の混乱期に頭角を現し、クーデターによって権力を掌握、後に皇帝となった。アウステルリッツの戦い、イエナ・アウエルシュタットの戦いなど数々の戦いで勝利を収め、ヨーロッパ大陸の大部分を支配下に置いた。「戦争は地形と時間の芸術である」「不可能という文字は愚者の辞書にのみ存在する」などの名言で知られる。軍事戦術では砲兵の集中運用、機動戦を得意とし、ナポレオン戦術として後世に影響を与えた。ナポレオン法典の制定など内政面でも手腕を発揮。ワーテルローの戦いで敗北し、セントヘレナ島で没したが、近世最大の軍事的天才として評価される。「愚人は運命を嘆き、凡人は運命に従い、賢人は運命を利用する」「私の死後、私の名は不滅となるだろう」などの言葉も残している。,近世
イエス・キリスト,いえす・きりすと,約2000年前にパレスチナで活動したキリスト教の創始者。神の愛と人類の救済を説き、十字架で殉教した後、復活したとされる。愛と赦しの教えは世界中に広がり、現在約25億人の信者を持つ宗教の礎となった。「汝の敵を愛せよ」「右の頬を打たれたら左の頬を差し出せ」などの教えで知られ、平和と愛の象徴として現代でも多くの人々に影響を与え続けている。その生涯と教えは新約聖書に記録され、西洋文明の基盤となった。,明
聖パウロ,せいぱうろ,1世紀のキリスト教の使徒。元々はキリスト教徒を迫害していたが、ダマスコ途上で劇的な回心を経験し、最も熱心な宣教師となった。地中海世界を巡回し、異邦人にキリスト教を広める活動を行った。新約聖書の多くの書簡を著し、キリスト教神学の基礎を築いた。「愛は忍耐強く、愛は情け深い」で始まる愛の讃美や「信仰と希望と愛、この三つは、いつまでも残る」などの言葉で知られる。殉教によって生涯を終えたが、その教えはキリスト教の発展に決定的な影響を与えた。,元
聖アウグスティヌス,せいあうぐすてぃぬす,4-5世紀の神学者・哲学者。北アフリカのヒッポの司教として活動し、キリスト教神学の発展に大きく貢献した。若い頃は放蕩生活を送っていたが、母モニカの祈りと聖書の言葉に導かれて回心した。その体験を記した「告白録」は自伝文学の傑作として知られる。「神の国」では理想的な共同体の在り方を論じ、中世ヨーロッパの政治思想に大きな影響を与えた。「汝が造られた我らは、汝のうちに憩うまでは心安らかならず」という言葉で、神への渇望を表現した。,中世
聖フランシスコ,せいふらんしすこ,12-13世紀イタリアの修道士。裕福な商人の家に生まれたが、神の呼びかけに応えて全財産を捨て、極貧の生活を送った。フランシスコ会を創設し、清貧・純潔・服従の誓いを立てた。自然を愛し、動物たちに説教したという逸話でも知られる。「平和を求める祈り」の作者とされ、「神よ、私をあなたの平和の道具としてください」の祈りは世界中で愛され続けている。十字架のキリストから直接語りかけられた体験や、キリストの聖痕を受けたとされる奇跡的な体験でも有名。環境保護の聖人としても現代に影響を与えている。,清
トマス・アクィナス,とます・あくぃなす,13世紀の神学者・哲学者。スコラ学の完成者として知られ、アリストテレス哲学とキリスト教神学の統合を図った。「神学大全」は中世最大の神学書として現在でも参照される。ドミニコ会の修道士として活動し、「天使博士」とも呼ばれた。神の存在証明や自然法理論など、理性と信仰の調和を追求した思想は、カトリック教会の公式教義の基盤となった。「恩寵は自然を破壊するのではなく、これを完成させる」という言葉で、理性と信仰の関係を表現した。その影響は神学にとどまらず、哲学、倫理学、政治学など広範囲に及んでいる。,明
マザー・テレサ,まざー・てれさ,20世紀の修道女。インドのコルカタで貧しい人々の救済に生涯を捧げた。「貧しい人の中でも最も貧しい人」への奉仕を使命とし、死を待つ人々の家や孤児院を運営した。1979年にノーベル平和賞を受賞。「愛の反対は憎しみではなく無関心です」「私たちは大きなことはできません。小さなことを大きな愛をもって行うだけです」などの言葉で知られる。死後、カトリック教会により列聖され、聖人となった。その生涯は愛と奉仕の象徴として世界中の人々に感動を与え続けている。現代における聖人の模範として多くの人に影響を与えている。,現代
マルティン・ルター,まるてぃん・るーたー,16世紀ドイツの宗教改革者。カトリック教会の腐敗を批判し、「95箇条の論題」を発表して宗教改革の火付け役となった。「信仰義認」の教理を主張し、善行ではなく信仰のみによって人は救われると説いた。聖書をドイツ語に翻訳し、一般民衆が聖書を読めるようにした功績も大きい。「ここに我立つ、他なしあたわず」という言葉で自らの信念を表明した。プロテスタントの礎を築き、キリスト教の多様性を生み出した。その思想は宗教にとどまらず、教育、政治、文化にも深い影響を与え、近世ヨーロッパの変革に大きな役割を果たした。,明
モーゼ,もーぜ,古代イスラエルの預言者・指導者。ユダヤ教の開祖とされる。エジプトで奴隷となっていたイスラエルの民を約束の地カナンに導いた出エジプトの指導者として知られる。シナイ山で神から十戒を受け、ユダヤ教の根本的な教えを確立した。「隣人を愛せよ」「汝殺すなかれ」などの倫理的教えは現在でも多くの宗教に影響を与えている。40年間荒野をさまよった後、約束の地を目前にして世を去った。その生涯は信仰、献身、指導力の模範とされ、ユダヤ教、キリスト教、イスラム教すべてで重要な預言者として尊敬されている。,古代イスラエル
釈迦,しゃか,紀元前5-6世紀頃、インドの王子として生まれた仏教の開祖。シッダールタ・ガウタマが本名で、29歳で出家し、35歳で菩提樹下で悟りを開いて仏陀(覚者)となった。四苦八苦の真理を説き、苦しみの原因とその解決法を示した。「中道」の思想で極端を避ける生き方を説き、八正道によって涅槃に至る道を示した。「すべての存在は苦である」「すべては無常である」などの教えで知られる。45年間にわたって教えを説き続け、80歳で入滅した。その教えは現在世界中に広がり、約5億人の信者を持つ宗教の基盤となっている。,元
空海,くうかい,平安時代初期の僧侶。真言宗の開祖として知られ、弘法大師の諡号で親しまれている。中国に渡って密教を学び、帰国後に高野山を開いて真言宗を確立した。「即身成仏」の教えで、この身のままで仏になることができると説いた。書道、詩文、彫刻など多方面にわたって才能を発揮し、「弘法筆を選ばず」の故事でも知られる。庶民の教育にも力を入れ、綜芸種智院を設立した。「生まれ生まれ生まれ生まれて生の始めに暗く、死に死に死に死んで死の終わりに冥し」という言葉で輪廻の深遠さを表現した。現在でも多くの人々に慕われている。,平安時代
道元,どうげん,鎌倉時代の僧侶。曹洞宗の開祖として知られる。中国に渡って臨済宗を学んだ後、帰国して只管打坐(ひたすらに座禅をする)の教えを説いた。「身心脱落」の境地を説き、座禅そのものが悟りであると教えた。主著「正法眼蔵」は日本仏教最高の哲学書とされる。「学道の人、まず須く貧なるべし」として清貧の重要性を説いた。永平寺を開創し、厳格な修行道場を確立した。「春は花夏ほととぎす秋は月冬雪さえて涼しかりけり」の歌で四季の美しさと無常を表現した。その教えは現代でも多くの人々に影響を与え続けている。,清
法然,ほうねん,平安時代末期から鎌倉時代の僧侶。浄土宗の開祖として知られる。比叡山で学んだ後、阿弥陀仏の本願を信じて念仏を唱えれば誰でも極楽浄土に往生できると説いた。「南無阿弥陀仏」の念仏を称えることで救われるという易行道を示し、学問や厳しい修行を積めない一般民衆にも仏教の門戸を開いた。「ただ念仏のみぞまことにておはします」として念仏の絶対性を説いた。その教えは親鸞や一遍などの弟子に受け継がれ、日本仏教の民衆化に大きな影響を与えた。慈悲深い人柄で知られ、多くの人々に慕われた。,平安時代
親鸞,しんらん,鎌倉時代の僧侶。浄土真宗の開祖として知られる。法然の弟子として念仏の教えを学んだ後、独自の教義を発展させた。「悪人正機」の思想で、煩悩深い凡夫こそが阿弥陀仏の救いの対象であると説いた。僧侶の妻帯を公にし、「非僧非俗」の立場を取った。「信心」の重要性を説き、阿弥陀仏への絶対的な信頼によって救われると教えた。主著「教行信証」で浄土真宗の教義を体系化した。「念仏者は無碍の一道なり」として自由な境地を表現した。その教えは現在でも多くの門徒に信仰され、日本最大の仏教宗派となっている。,鎌倉時代
日蓮,にちれん,鎌倉時代の僧侶。日蓮宗の開祖として知られる。法華経を最高の教えとし、「南無妙法蓮華経」の題目を唱えることで成仏できると説いた。他の宗派を激しく批判し、「立正安国論」で国家の安寧のために正しい仏法の確立を訴えた。度重なる法難に遭いながらも信念を貫き、佐渡に流罪になった際も教えを説き続けた。「我日本の柱とならん、我日本の眼目とならん、我日本の大船とならん」という誓いで知られる。熱烈な信仰と不屈の精神で多くの弟子を育て、現在でも日蓮系の各宗派に大きな影響を与えている。,鎌倉時代
最澄,さいちょう,平安時代初期の僧侶。天台宗の開祖として知られる。中国に渡って天台教学を学び、帰国後に比叡山を開いて天台宗を確立した。「法華経」を最高の教えとし、一乗思想を説いた。「一隅を照らす」という言葉で知られ、それぞれの立場で精一杯努力することの大切さを説いた。総合的な仏教教学を目指し、顕教と密教の融合を図った。比叡山は「日本仏教の母山」と呼ばれ、後に多くの高僧を輩出した。その教えは現在でも多くの人々に影響を与え、社会貢献活動の精神的基盤となっている。,平安時代
ムハンマド,むはんまど,6-7世紀のアラビア半島で活動したイスラム教の開祖。預言者として神(アッラー)の啓示を受け、コーラン(クルアーン)の教えを人々に伝えた。メッカで迫害を受けた後、メディナに移住(ヒジュラ)し、イスラム共同体を建設した。「アッラーの他に神はなし、ムハンマドは神の使徒なり」という信仰告白で知られる。正義、慈悲、平等を説き、部族社会に新しい秩序をもたらした。その教えは現在約18億人の信者を持つ世界第二の宗教となっている。商人出身で誠実な人柄から「信頼できる者」と呼ばれていた。イスラム教の発展とアラブ文明の興隆に決定的な役割を果たした。,明
ルーミー,るーみー,13世紀ペルシャの神秘主義詩人・神学者。メヴレヴィー教団の創始者として知られる。師シャムスとの出会いによって神秘体験に導かれ、愛と一体化の境地を詩に表現した。「マスナヴィー」など多くの詩作品は「ペルシャ語のコーラン」と呼ばれ、イスラム神秘主義の最高傑作とされる。「愛は橋である神と人との間の」という言葉で知られ、神への愛を人間の愛を通して表現した。旋回舞踊(セマー)を通じて神との一体化を図る修行法を確立した。その詩は現在でも世界中で愛読され、宗教の枠を超えて多くの人々に感動を与えている。,13世紀
イブン・アラビー,いぶん・あらびー,12-13世紀のイスラム神秘主義者・哲学者。「最大の師」と呼ばれ、イスラム神秘主義の理論的基盤を確立した。「存在の一性」の思想で、万物は神の顕現であると説いた。「完全人間」の概念を提示し、人間が神の属性を完全に体現できる存在であることを示した。主著「メッカの征服」「知恵の台座」は神秘主義の古典とされる。「あなたがたは神の鏡であり、神もあなたがたの鏡である」という言葉で神と人間の関係を表現した。その思想は後のイスラム哲学に大きな影響を与え、現在でも神秘主義研究の重要な対象となっている。,13世紀
織田信長,おだのぶなが,1534年~1582年。戦国時代の武将、戦国大名。尾張国の小大名から出発し、桶狭間の戦いで今川義元を破って頭角を現した。「天下布武」を掲げ、革新的な戦法と政策で戦国時代の常識を覆した。長篠の戦いでは鉄砲を大量投入して武田軍を破り、石山本願寺との戦いでは鉄甲船を建造するなど新技術を積極的に導入。楽市楽座、関所の廃止など経済政策でも手腕を発揮した。「是非に及ばず」の言葉通り、現実主義的で合理的思考の持ち主。比叡山焼き討ち、一向一揆の弾圧など苛烈な面もあったが、旧秩序を破壊して新しい時代を切り開いた革命児。本能寺の変で明智光秀に討たれたが、その後の統一事業は豊臣秀吉、徳川家康に引き継がれた。,戦国時代
武田信玄,たけだしんげん,1521年~1573年。戦国時代の武将、甲斐国の戦国大名。本名は武田晴信。「甲斐の虎」と呼ばれ、戦国最強とうたわれた武田軍団を率いた。「風林火山」(疾如風、徐如林、侵掠如火、不動如山)を軍旗に掲げ、その軍事思想を体現した。川中島の戦いでは上杉謙信と五度にわたって激突し、互角の戦いを繰り広げた。三方ヶ原の戦いでは徳川家康・織田信長連合軍を破り、その軍事的才能を見せつけた。武田二十四将と呼ばれる優秀な家臣団を統率し、騎馬軍団の機動力と情報収集能力を活かした戦術を得意とした。「人は城、人は石垣、人は堀」の言葉通り、人材重視の経営を行った。上洛途中で病没したが、その軍事的遺産は後世に大きな影響を与えた。,戦国時代
上杉謙信,うえすぎけんしん,1530年~1578年。戦国時代の武将、越後国の戦国大名。本名は長尾景虎、後に上杉政虎、輝虎。「越後の龍」「軍神」と称され、生涯不敗の名将として知られる。毘沙門天を篤く信仰し、「義」を重んじる武将として関東管領上杉憲政から関東管領職を譲られた。川中島の戦いでは武田信玄と五度激突し、特に第四次川中島の戦いでの一騎討ちは後世に語り継がれる。手取川の戦いでは織田軍を破り、その武勇を示した。「我れ兵を起こすは私のためではない、民百姓を救うためである」との信念のもと、他国からの救援要請に応じて各地を転戦。酒を愛し、生涯不犯を貫いた異色の戦国武将。内政にも優れ、青苧や越後上布の流通で経済基盤を固めた。,戦国時代
豊臣秀吉,とよとみひでよし,1537年~1598年。戦国時代から安土桃山時代の武将、天下人。尾張国の農民出身から立身出世し、織田信長の重臣となった後、信長の死後に天下統一を成し遂げた。本能寺の変後の中国大返し、山崎の戦いでの明智光秀討伐、賤ヶ岳の戦いでの柴田勝家撃破など、機敏な判断力と行動力で戦国時代を駆け抜けた。小田原征伐で北条氏を滅ぼし、天下統一を完成。検地・刀狩りによる兵農分離、太閤検地による全国的土地調査など、近世社会の基盤を築いた。「人たらし」と呼ばれるほど人心掌握に長け、敵対していた武将も次々と配下に加えた。晩年は朝鮮出兵を行ったが、志半ばで病没。天下人としての手腕と人間的魅力で、日本史上最も劇的な立身出世を遂げた人物。,戦国時代
徳川家康,とくがわいえやす,1543年~1616年。戦国時代から江戸時代初期の武将、江戸幕府初代将軍。三河国の小大名から出発し、織田信長、豊臣秀吉と同盟・従属関係を結びながら力を蓄えた。「人の一生は重荷を負うて遠き道を行くがごとし」の言葉通り、忍耐強く機会を待つ戦略を得意とした。関ヶ原の戦いで石田三成率いる西軍を破り、天下の実権を握った。江戸幕府を開いて約260年続く泰平の世の基礎を築き、参勤交代制度、鎖国政策など安定的な政治体制を確立した。大坂冬の陣・夏の陣で豊臣家を滅ぼし、戦国時代に終止符を打った。「鳴かぬなら鳴くまで待とう時鳥」に例えられる慎重さと、決断時の大胆さを併せ持った戦略家として評価される。,戦国時代
源義経,みなもとのよしつね,1159年~1189年。平安時代末期の武将。源頼朝の異母弟。幼名は牛若丸。鞍馬寺で修行した後、奥州平泉の藤原秀衡のもとで成長し、兄頼朝の平家討伐に参加した。一ノ谷の戦いでは「鵯越の逆落とし」と呼ばれる奇襲作戦で平家軍を破り、屋島の戦い、壇ノ浦の戦いでも活躍して平家滅亡の立役者となった。弁慶をはじめとする郎党を従え、その武勇と戦術は「八艘飛び」などの逸話で語り継がれている。しかし、頼朝から疎まれて朝廷から官位を受けたことで兄弟の関係が悪化。最終的に藤原泰衡に襲われて衣川で自害した。「判官びいき」の語源となったように、悲劇の英雄として日本人に愛され続け、能、歌舞伎、文学作品の題材として現代まで親しまれている。,平安時代
クラウゼヴィッツ,くらうぜ?ぃっつ,1780年~1831年。プロイセンの軍人、軍事理論家。ナポレオン戦争を体験し、その教訓をもとに『戦争論』を著した。「戦争は政治の延長である」「戦争の霧」「絶対戦争と制限戦争」など、現代でも通用する軍事理論の基礎を確立した。イエナ・アウエルシュタットの戦いでプロイセン軍の惨敗を経験し、軍制改革に参画。ロシア遠征では一時ロシア軍に参加してナポレオンと戦った。『戦争論』では戦争を政治現象として分析し、戦略と戦術の違い、攻撃と防御の性格、物理的要素と精神的要素の関係を体系的に論じた。その理論は19世紀から20世紀の軍事思想に決定的な影響を与え、現代の軍事学、国際関係論、経営戦略論の古典として研究され続けている。コレラで早世したが、西洋軍事思想の最高峰として評価される。,現代
毛沢東,もうたくとう,1893年~1976年。中国の政治家、軍事家、思想家。中国共産党の指導者として中華人民共和国を建国した。農民出身から革命家となり、「農村から都市を包囲する」戦略で国民党との内戦に勝利した。「政治権力は銃身から生まれる」「敵進我退、敵駐我擾、敵疲我打、敵退我追」(十六字訣)など、ゲリラ戦の理論を確立した。長征では中国共産党軍を率いて1万2千キロの大移動を成功させ、抗日戦争、国共内戦を勝ち抜いた。建国後は「大躍進政策」「文化大革命」などを推進したが、その評価は複雑である。軍事思想家としては、弱者が強者に勝つための戦略理論を体系化し、20世紀の革命戦争、民族解放戦争に大きな影響を与えた。詩人としても優れ、雄大な詩を多数残している。,20世紀
マハトマ・ガンジー,まはとま・がんじー,1869年~1948年。インドの政治指導者、思想家。本名はモーハンダース・カラムチャンド・ガーンディー。「非暴力・不服従」(サティヤーグラハ)の思想と実践でイギリスからのインド独立を導いた。南アフリカで弁護士として活動中に人種差別と闘い、非暴力抵抗の理論を発展させた。インド帰国後は塩の行進、断食などを通じて民衆を組織し、英国統治に対する抵抗運動を指導した。「真理への献身」を意味するサティヤーグラハは、暴力によらない社会変革の手法として世界的に影響を与えた。キング牧師、ネルソン・マンデラなど後の公民権運動指導者にも思想的影響を与えている。独立達成直後にヒンドゥー過激派によって暗殺されたが、「偉大な魂」(マハトマ)として現代でも平和運動の象徴的存在。「明日死ぬかのように生きよ。永遠に生きるかのように学べ」「弱い者ほど復讐を考える。強い者は許すことを知っている」などの名言でも知られる。,明
エルヴィン・ロンメル,えるう ゙ぃん・ろんめる,1891年~1944年。ドイツの軍人。第二次世界大戦で「砂漠の狐」と呼ばれ、北アフリカ戦線でイギリス軍を苦しめた戦術の天才。第一次世界大戦では歩兵将校として活躍し、カポレットの戦いで武功を立てた。第二次世界大戦ではフランス戦で第7装甲師団を指揮し、電撃戦の成功に貢献。北アフリカではドイツアフリカ軍団を率い、機動力を活かした戦術でイギリス軍を翻弄した。トブルク攻略、ガザラの戦いでの勝利など、劣勢な状況でも勝利を重ねた。しかし、エル・アラメインの戦いで敗北し、その後連合軍の反攻で後退を余儀なくされた。ヒトラー暗殺計画に関与した疑いで1944年に自殺を強要された。政治的立場を超えて軍事的才能が評価され、敵国の将軍からも尊敬された騎士道精神の持ち主。,19–20世紀
山本五十六,やまもといそろく,1884年~1943年。日本の海軍軍人。太平洋戦争開戦時の連合艦隊司令長官として真珠湾攻撃を立案・指揮した。長岡藩士の子として生まれ、海軍兵学校を卒業後、日露戦争で日本海海戦に参加。アメリカ留学の経験からアメリカの国力を熟知し、対米戦争には反対の立場だったが、開戦が決まると「短期決戦による有利な講和」を目指した。真珠湾攻撃、ミッドウェー海戦を計画し、航空戦力の重要性をいち早く認識した。「やってみせ、言って聞かせて、させてみせ、褒めてやらねば、人は動かじ」の名言で知られるように、部下の育成に心を砕いた。ミッドウェー海戦の敗北後も戦争指導を続けたが、ブーゲンビル島上空でアメリカ軍機の待ち伏せを受けて戦死。敵国からも名将として評価された。,19–20世紀
ウィンストン・チャーチル,うぃんすとんちゃーちる,イギリスの政治家・軍人・作家(1874-1965)。第二次世界大戦中に首相として英国を勝利に導いた。政治家としての功績と並んで、機知とユーモアに富んだ演説で知られる。困難な状況でも決して屈服しない不屈の精神と、適切なタイミングで放たれる機智に富んだ発言で国民の士気を鼓舞した。「成功とは失敗から失敗へと情熱を失わずに進むことだ」「楽観主義者は全ての機会の中に困難を見つけ、悲観主義者は全ての困難の中に機会を見つける」「決して諦めるな」「困難の中にこそ機会がある」「勇気は人間の美徳の中で最も重要なものだ」など、逆境に立ち向かう勇気と希望に関する多くの名言を残している。戦時中の数々の困難を乗り越え、不屈の精神で国民を鼓舞し続けた。文筆家としても優れ、ノーベル文学賞も受賞している。,
ネルソン・マンデラ,ねるそんまんでら,南アフリカの政治家。アパルトヘイト撤廃運動の指導者として27年間の投獄を経験し、釈放後は南アフリカ初の黒人大統領となった。「生きる上で最も偉大な栄光は、決して転ばないことではなく、転ぶたびに起き上がることだ」「勇気とは恐怖がないことではなく、恐怖に勝つことだ」など、不屈の精神と和解に関する深い名言を残している。長期間の投獄という困難を乗り越え、憎しみではなく和解の道を選んだ彼の姿勢は、世界中の人々に感動を与えた。彼の言葉は、困難に立ち向かう勇気と希望の象徴として永遠に語り継がれている。,
マーク・トウェイン,まーくとうぇいん,アメリカの作家・ユーモリスト(1835-1910)。本名はサミュエル・ラングホーン・クレメンズ。『トム・ソーヤーの冒険』『ハックルベリー・フィンの冒険』で知られる。鋭い社会風刺と機知に富んだユーモアで、アメリカ文学の父と称される。講演家としても活動し、辛辣で的確な人間観察に基づいた名言を数多く残した。「善良な人間になるには想像力が必要だが、悪い人間になるには才能が必要だ」など、人間の本質を突いた言葉で多くの人々に愛され続けている。,
オスカー・ワイルド,おすかーわいるど,アイルランド出身の劇作家・詩人・小説家(1854-1900)。ヴィクトリア朝時代の英国社会を鋭く風刺した機知と皮肉に満ちた作品で知られる。『ドリアン・グレイの肖像』『サロメ』などの名作を生み出した。華麗な生活ぶりと洗練されたウィットで社交界の寵児となったが、同性愛スキャンダルにより晩年は失意のうちに過ごした。「我々は皆どぶの中にいる。しかし、そこから星を見上げている者もいる」など、人生の皮肉と美しさを同時に表現した名言の数々は今なお多くの人々に愛されている。,
