word,reading,meaning,example,type,category_id
弁当は宵から,べんとうはよいから,用意は早めにしておくのがよいという教え。,出張の準備は弁当は宵から、前夜にすべて詰めておいた。,ことわざ,5
まだ早いが遅くなる,まだはやいがおそくなる,『まだ早い』と油断していると、結局間に合わなくなるという戒め。,企画書づくりは、まだ早いが遅くなる、とにかく着手しよう。,ことわざ,5
用心には網を張れ,ようじんにはあみをはれ,用心は重ねて万全にせよという教え。,リリース前は用心には網を張れ、チェックリストを二重化した。,ことわざ,10
予防は治療に勝る,よぼうはちりょうにまさる,問題が起きてから対処するより、事前の予防が最も大切だという教え。,セキュリティ対策は予防は治療に勝る、設計段階から組み込む。,ことわざ,10
李下に冠を正さず,りかにかんむりをたださず,疑われるような行為は避けよという戒め。,情報管理は李下に冠を正さず、私物端末では扱わない。,ことわざ,10
危ない事は怪我のうち,あぶないことはけがのうち,危険なことに関われば災いは起こりやすい、近寄らぬが吉という教え。,無理な深夜作業は危ない事は怪我のうち、翌日に回した。,ことわざ,10
雨垂れは三途の川,あまだれはさんずのかわ,外には思わぬ危険が潜むから常に用心せよという教え。,海外出張では雨垂れは三途の川、常に周囲に気を配った。,ことわざ,10
過ちは好む所にあり,あやまちはこのむところにあり,得意分野ほど油断して失敗しやすいという戒め。,レビューは過ちは好む所にあり、慣れた箇所こそ丁寧に見直した。,ことわざ,10
青葉は目の薬,あおばはめのくすり,青葉の色は目に良いということから、自然に触れることの効用をいう。,在宅続きだから散歩に出た。青葉は目の薬だ。,ことわざ,8
朝寝坊の宵っ張り,あさねぼうのよいっぱり,朝寝坊する者は夜更かしをするという生活の乱れを戒める言い方。,最近は朝寝坊の宵っ張りになって体調が崩れた。,ことわざ,8
一に看病二に薬,いちにかんびょうににくすり,病気には薬よりも看病が大切だという考え。,体調を崩した同僚に、一に看病二に薬だと食事を差し入れた。,ことわざ,8
よいうちから養生,よいうちからようじょう,健康なうちから体を大切にするのが大事だという教え。,定期的に運動しよう。よいうちから養生だ。,ことわざ,8
親が死んでも食休み,おやがしんでもしょくやすみ,食後の休息は欠かすなというほど養生を重んじる言い方。,忙しくても親が死んでも食休み、10分だけ横になった。,ことわざ,8
鬼の霍乱,おにのかくらん,丈夫な人が珍しく病気になることのたとえ。,滅多に休まない課長が欠勤とは、鬼の霍乱だ。,ことわざ,8
開いた口へ牡丹餅,あいたくちへぼたもち,苦労せずに思いがけない幸運に恵まれること。,採択の連絡が来て、まさに開いた口へ牡丹餅だった。,ことわざ,4
諦めは心の養生,あきらめはこころのようじょう,思い悩むより気持ちを切り替えるのが心の健康によいという教え。,結果はもう出た。諦めは心の養生と切り替えた。,ことわざ,4
当たるも八卦当たらぬも八卦,あたるもはっけあたらぬもはっけ,占いや予測は当たることも当たらないこともあるということ。,株価の短期予想は当たるも八卦当たらぬも八卦だ。,ことわざ,4
当てずっぽうの通り神,あてずっぽうのとおりがみ,当て推量が偶然当たること。,計算せず出した案が採用され、当てずっぽうの通り神になった。,ことわざ,4
あんころ餅で尻を叩かれる,あんころもちでしりをたたかれる,思いがけないうまい話が舞い込むたとえ。,臨時ボーナスの知らせに、あんころ餅で尻を叩かれた気分だ。,ことわざ,4
生簀の鯉,いけすのこい,成り行きに逆らえず、逃れられない運命にあるたとえ。,契約の失敗で彼は生簀の鯉のように身動きが取れなかった。,ことわざ,4
痛い上の針,いたいうえのはり,悪い出来事が重なるたとえ。,納期遅延に加えて人員欠員とは、痛い上の針だ。,ことわざ,4
痛む上に塩を塗る,いたむうえにしおをぬる,悪い事態にさらに悪いことが重なるたとえ。,値上げ直後に競合が参入するなんて、痛む上に塩を塗る話だ。,ことわざ,4
一富士二鷹三茄子,いちふじにたかさんなすび,初夢に見ると縁起が良いものの順。転じて吉兆のたとえ。,一富士二鷹三茄子のような幸先の良いスタートだ。,ことわざ,4
犬も歩けば棒に当たる,いぬもあるけばぼうにあたる,行動すれば災難にも幸運にも遭うということ。,営業に回ったら犬も歩けば棒に当たるで大口受注に巡り合った。,ことわざ,4
有卦に入る,うけにいる,何事も順調に運び、幸運が続くこと。,発売以来ヒットが連続し、有卦に入っている。,ことわざ,4
運は天に在り,うんはてんにあり,最善を尽くしたら結果は天に任せよという考え。,ここまでやったのだから、運は天に在りだ。,ことわざ,4
運を待つは死を待つに等し,うんをまつはしをまつにひとし,努力せず幸運だけを待つのは愚かだという戒め。,運を待つは死を待つに等し、自ら動いてチャンスを作った。,ことわざ,4
得手に帆を上げる,えてにほをあげる,好機を逃さず得意分野で力を発揮すること。,SNSで話題になった今こそ得手に帆を上げる時だ。,ことわざ,4
選んで粕を掴む,えらんでかすをつかむ,選り好みし過ぎてかえって悪いものを選んでしまうこと。,条件に厳しすぎて、選んで粕を掴む結果になった。,ことわざ,4
生兵法は大怪我のもと,なまびょうほうはおおけがのもと,生半可な腕前はかえって大失敗を招くという戒め。,設定を理解せずに触るのは、生兵法は大怪我のもとだ。,ことわざ,4
無い袖は振れぬ,ないそではふれぬ,持たないものは出しようがないという意。資源や金がなければ無理はできないというたとえ。,予算が付かない以上、無い袖は振れぬ。スコープを縮小しよう。,ことわざ,7
無い時の辛抱ある時の倹約,ないときのしんぼうあるときのけんやく,金のない時は辛抱し、ある時は倹約せよという生活の知恵。,売上が落ちた今こそ、無い時の辛抱ある時の倹約が必要だ。,ことわざ,7
俄長者は俄乞食,にわかちょうじゃはにわかこじき,にわか成金は散財してすぐに貧乏に戻りやすいというたとえ。,急に儲かったからといって豪遊すれば、俄長者は俄乞食だ。,ことわざ,7
針で掘って鍬で埋める,はりでほってくわでうめる,苦労して貯めたものを一度に使い果たすたとえ。,小さなコスト削減を重ねても、浪費すれば針で掘って鍬で埋める。,ことわざ,7
裸で物を落とした例なし,はだかでものをおとしたためしなし,無一物なら失うものもないという意。,怖いのは借金だ。裸で物を落とした例なし、身の丈でやろう。,ことわざ,7
名主の跡は芋畑,なぬしのあとはいもばたけ,栄えた家も数代で衰えることが多いというたとえ。,名主の跡は芋畑、ブランドも守らなければ廃れる。,ことわざ,7
良薬は口に苦し,りょうやくはくちににがし,ためになる忠告は耳に痛いという教え。,厳しい指摘だったが、良薬は口に苦しだと受け止めた。,ことわざ,10
己の頭の蠅を追え,おのれのあたまのはえをおえ,他人のことを言う前に自分のことを始末せよという戒め。,まずは己の頭の蠅を追え、部屋の片付けから始めた。,ことわざ,10
我が身の事は人に問え,わがみのことはひとにとえ,自分のことは客観視しにくいので人に意見を求めよという教え。,提案資料は我が身の事は人に問え、同僚にレビューを頼んだ。,ことわざ,10
忠言耳に逆らう,ちゅうげんみみにさからう,忠告は聞きづらいものだという意。,上司の叱責はきついが、忠言耳に逆らうと思って受け止める。,ことわざ,10
我が身を抓って人の痛さを知れ,わがみをつねってひとのいたさをしれ,自分に引き比べて他人の痛みを思いやれという教え。,我が身を抓って人の痛さを知れ、働き方を見直した。,ことわざ,10
隠すより現る,かくすよりあらわる,隠し事はかえって露見しやすいということ。,不正は隠すより現る、最初からやらないに限る。,ことわざ,10
愛してその過ちを知る,あいしてそのあやまちをしる,愛してこそ相手の欠点にも気づけるという意。,同棲して、愛してその過ちを知ることも多かった。,ことわざ,9
愛の鞭,あいのむち,相手のためを思ってあえて厳しくすること。,後輩への厳しい指導は愛の鞭だと信じている。,ことわざ,9
合うは分れの始め,あうはわかれのはじめ,出会いがあればいつか別れが来るという無常観。,卒業式は合うは分れの始め、別れを噛みしめた。,ことわざ,9
愛に国境なし,あいにこっきょうなし,愛に国境はないという意。,国際結婚の友人を見て、愛に国境なしを実感する。,ことわざ,9
愛は小さき家を住まわせる,あいはちいさきいえをすまわせる,愛があれば貧しくても幸せに暮らせるという意。,狭いアパートでも、愛は小さき家を住まわせる。,ことわざ,9
似合い似合いの釜の蓋,にあいにあいのかまのふた,どんな人にもふさわしい相手があるというたとえ。,友人の結婚を見て、似合い似合いの釜の蓋だと思った。,ことわざ,2
食わせて置いて扨と言い,くわせておいてさてといい,もてなして恩を着せてから本題を切り出す常套手段のたとえ。,商談の段取りがまさに食わせて置いて扨と言いだ。,ことわざ,2
仲人七嘘,なこうどななうそ,仲人の話には誇張や嘘が多いということ。,昔の言い回しに仲人七嘘というが、半分は話を割り引いて聞いた。,ことわざ,2
仲人は宵の中,なこうどはよいのうち,仲人の役目は式まで、以後は邪魔せず引き下がれということ。,挨拶を済ませたら仲人は宵の中、早々に席を立った。,ことわざ,2
逃がした魚は大きい,にがしたさかなはおおきい,逃した獲物は実際より大きく感じるというたとえ。,終盤で逆転負け。逃がした魚は大きいと痛感した。,ことわざ,4
朱に交われば赤くなる,しゅにまじわればあかくなる,付き合う相手や環境によって人の性質や行動は影響を受けるというたとえ。,成長したければ高い志の仲間と働け。朱に交われば赤くなる。,ことわざ,15
井の中の蛙大海を知らず,いのなかのかわずたいかいをしらず,狭い世界の知識や経験だけで満足している者への戒め。,海外の事例を学ばねば、井の中の蛙大海を知らずだ。,ことわざ,3
終わりよければすべてよし,おわりよければすべてよし,最後がよければ途中の過程の欠点は問題にならないということ。,紆余曲折はあったが、終わりよければすべてよしだ。,ことわざ,4
馬の耳に念仏,うまのみみにねんぶつ,有難い忠告も聞く気のない者には効果がないこと。,注意しても改善しない。馬の耳に念仏だ。,ことわざ,2
河童の川流れ,かっぱのかわながれ,得意とする者でも失敗することがあるたとえ。,一流でもミスはある。河童の川流れだ。,ことわざ,4
腐っても鯛,くさってもたい,価値あるものは多少傷んでも価値を失わないというたとえ。,旧モデルでも腐っても鯛、きちんと売れる。,ことわざ,11
猫に鰹節,ねこにかつおぶし,油断できない相手に大切なものを預けるのは危険という戒め。,金庫の鍵を新人に任せるのは猫に鰹節だ。,ことわざ,7
負けるが勝ち,まけるがかち,表面上は負けても、結果的に利益になることもあるという教え。,ここは退いて交渉の余地を残す。負けるが勝ちだ。,ことわざ,12
雨垂れ石を穿つ,あまだれいしをうがつ,小さな努力でも根気よく続ければ大きな成果を生む。,毎日10分でも継続しよう。雨垂れ石を穿つ。,ことわざ,14
二足の草鞋を履く,にそくのわらじをはく,同時に二つの職業や立場を兼ねること。,教員と起業家、二足の草鞋を履いている。,ことわざ,13
腹八分目に医者いらず,はらはちぶんめにいしゃいらず,食べ過ぎないことが健康の秘訣だという教え。,夜食は控える。腹八分目に医者いらずだ。,ことわざ,8
悪事千里を走る,あくじせんりをはしる,悪い評判はすぐに世間に広まること。,不正は隠せない。悪事千里を走る。,ことわざ,10
餅は餅屋,もちはもちや,物事は専門家に任せるのが最良だという意味。,法務は弁護士へ。餅は餅屋だ。,ことわざ,3
弘法にも筆の誤り,こうぼうにもふでのあやまり,名人でも失敗することがある。,彼の計算ミスは弘法にも筆の誤りだ。,ことわざ,4
魚心あれば水心,うおごころあればみずごころ,相手が好意を示せば、こちらも応じる気持ちになるということ。,値引きに応じたら追加発注が来た。魚心あれば水心だ。,ことわざ,2
虻蜂取らず,あぶはちとらず,二つのものを同時に得ようとして、どちらも失うこと。,複線戦略でリソースが分散し、虻蜂取らずとなった。,ことわざ,12
餅は餅屋に任せよ,もちはもちやにまかせよ,専門家に任せるのが最善という強調表現。,セキュリティは餅は餅屋に任せよ。,ことわざ,3
雉も鳴かずば撃たれまい,きじもなかずばうたれまい,余計なことを言わなければ災いを招かないという戒め。,その話題は口をつぐもう。雉も鳴かずば撃たれまい。,ことわざ,10
上には上がある,うえにはうえがある,どんな世界にも更に優れた者がいる。,世界大会で痛感した。上には上がある。,ことわざ,14
馬子にも衣装,まごにもいしょう,どんな者でも装い次第で立派に見える。,新入社員もスーツで馬子にも衣装だ。,ことわざ,11
百聞は一見にしかず,ひゃくぶんはいっけんにしかず,多く聞くより一度自分の目で見る方が確かだ。,仕様は百聞は一見にしかず、デモで確認しよう。,ことわざ,3
焼け石に水,やけいしにみず,効果が小さく、ほとんど役に立たないこと。,一時的な補助金では焼け石に水だ。,ことわざ,4
藪をつついて蛇を出す,やぶをつついてへびをだす,余計なことをして災いを招くこと。,古い話を蒸し返すな。藪をつついて蛇を出すだけだ。,ことわざ,10
立つ鳥跡を濁さず,たつとりあとをにごさず,去るときは後始末をきちんとするべきだ。,異動前に引継書を整えた。立つ鳥跡を濁さず。,ことわざ,10
覆水盆に返らず,ふくすいぼんにかえらず,一度起きたことは取り返しがつかない。,誤送信は覆水盆に返らず、再発防止を徹底する。,ことわざ,4
縁は異なもの味なもの,えんはいなものあじなもの,縁は理屈通りにいかず不思議なものだ。,偶然の再会で結婚した。縁は異なもの味なものだ。,ことわざ,9
好きこそ物の上手なれ,すきこそもののじょうずなれ,好きなことは上達が早い。,プログラミングは好きこそ物の上手なれだ。,ことわざ,14
鶴は千年亀は万年,つるはせんねんかめはまんねん,長寿やめでたさの表現。,祖父の白寿を祝い、鶴は千年亀は万年と乾杯した。,ことわざ,11
蓼食う虫も好き好き,たでくうむしもすきずき,人の好みはさまざまである。,奇抜な配色が評判、蓼食う虫も好き好きだ。,ことわざ,11
門前の小僧習わぬ経を読む,もんぜんのこぞうならわぬきょうをよむ,常に見聞きしていると自然に覚えるというたとえ。,親の商売を見て育ち、門前の小僧習わぬ経を読むだ。,ことわざ,3
泣く子と地頭には勝てぬ,なくことじとうにはかてぬ,理不尽でもどうにもならない相手がいるということ。,相場の急変には泣く子と地頭には勝てぬ。,ことわざ,4
仏の顔も三度,ほとけのかおもさんど,どんな寛大な人にも我慢の限度がある。,遅刻三回で厳重注意、仏の顔も三度だ。,ことわざ,10
泣いて馬謖を斬る,ないてばしょくをきる,私情を捨てて厳正に処置すること。,身内の不正でも泣いて馬謖を斬る判断が必要だ。,ことわざ,10
棚から牡丹餅,たなからぼたもち,思いがけない幸運を得ること。,抽選で当選、棚から牡丹餅だ。,ことわざ,4
鯛の尾より鰯の頭,たいのおよりいわしのあたま,大組織の末端より小集団の中心の方が良いという意。,支社長に就いた。鯛の尾より鰯の頭だ。,ことわざ,11
大事の前の小事,だいじのまえのしょうじ,大事に比べれば小さなことは気にするなという意。,細部にとらわれすぎるな。大事の前の小事だ。,ことわざ,3
大は小を兼ねる,だいはしょうをかねる,大きいものは小さい用途にも使える。,容量は余裕を持たせよう。大は小を兼ねる。,ことわざ,7
短気は損気,たんきはそんき,短気は損を招く。,怒鳴っても解決しない。短気は損気だ。,ことわざ,10
弘法は筆を選ばず,こうぼうはふでをえらばず,名人は道具に左右されない。,古い端末でも成果を出す。弘法は筆を選ばず。,ことわざ,3
二兎を追う者は一兎をも得ず,にとをおうものはいっとをもえず,同時に多くを狙うと結局どれも得られない。,今期は製品Aに集中。二兎を追う者は一兎をも得ず。,ことわざ,12
猫の手も借りたい,ねこのてもかりたい,非常に忙しいさま。,決算期は猫の手も借りたいほどだ。,ことわざ,8
下手の横好き,へたのよこずき,下手だが好きで熱心に取り組むこと。,下手の横好きでも続ければ上達する。,ことわざ,14
下手の考え休むに似たり,へたのかんがえやすむににたり,考えてばかりで進まないのは休んでいるのと同じ。,まず手を動かそう。下手の考え休むに似たり。,ことわざ,3
無理が通れば道理引っ込む,むりがとおればどうりひっこむ,横暴がまかり通ると正論が通じなくなる。,無理が通れば道理引っ込む、透明性が必要だ。,ことわざ,10
昔取った杵柄,むかしとったきねづか,以前身につけた腕前や技量。,昔取った杵柄で今もピアノが弾ける。,ことわざ,11
餅は餅屋に聞け,もちはもちやにきけ,専門家の意見を仰ぐべきという意。,税務は餅は餅屋に聞け。,ことわざ,3
焼きが回る,やきがまわる,判断力や腕前が鈍る。,最近の凡ミスの多さは焼きが回った証拠だ。,ことわざ,4
山椒は小粒でもぴりりと辛い,さんしょうはこつぶでもぴりりとからい,小さくても侮れない。,小規模チームだが山椒は小粒でもぴりりと辛い。,ことわざ,4
渡りに船,わたりにふね,都合の良い機会に恵まれる。,ちょうど空きが出た。渡りに船だ。,ことわざ,5
礼に始まり礼に終わる,れいにはじまりれいにおわる,何事も礼儀が大切。,商談は礼に始まり礼に終わるを徹底した。,ことわざ,10
老いては子に従え,おいてはこにしたがえ,年長者でも時には若者のやり方に従う。,新ツールは老いては子に従えで採用した。,ことわざ,10
帯に短したすきに長し,おびにみじかしたすきにながし,中途半端で役に立たない。,その仕様は帯に短したすきに長しだ。,ことわざ,4
同じ釜の飯を食う,おなじかまのめしをくう,寝食を共にして親しくなる。,合宿で同じ釜の飯を食い、団結が強まった。,ことわざ,13
塵も積もれば山となる,ちりもつもればやまとなる,小さいことも積み重なれば大きくなる。,日々の改善は塵も積もれば山となる。,ことわざ,14
口は災いの元,くちはわざわいのもと,不用意な発言は災いを招く。,SNSの発言は控えめに。口は災いの元だ。,ことわざ,10
悪銭身につかず,あくせんみにつかず,不正な金はすぐに失う。,一攫千金の話は危険だ。悪銭身につかず。,ことわざ,7
船頭多くして船山に登る,せんどうおおくしてふねやまにのぼる,指示する者が多いと物事がまとまらない。,意思決定は一本化を。船頭多くして船山に登る。,ことわざ,13
住めば都,すめばみやこ,住み慣れればどこでも住みよく感じる。,転勤先も住めば都だ。,ことわざ,8
空振り三振,からぶりさんしん,狙っても成果が出ないこと。,提案がすべて不採用で空振り三振だ。,ことわざ,4
勝って兜の緒を締めよ,かってかぶとのおをしめよ,成功しても気を緩めず引き締めよという戒め。,大口受注後こそ勝って兜の緒を締めよ。,ことわざ,12
臭い物に蓋をする,くさいものにふたをする,不都合なことを隠そうとする。,問題を隠さず向き合え。臭い物に蓋をするな。,ことわざ,10
釘を刺す,くぎをさす,念を押す。,納期厳守だと釘を刺しておいた。,ことわざ,2
情けは身を助ける,なさけはみをたすける,人に親切にすれば巡り巡って自分も助けられる。,日頃の助け合いが功を奏した。情けは身を助ける。,ことわざ,10
焼けぼっくいに火がつく,やけぼっくいにひがつく,一度切れた関係が再びもとに戻る。,旧顧客との取引が焼けぼっくいに火がついた。,ことわざ,9
蒔かぬ種は生えぬ,まかぬたねははえぬ,努力なくして成果は得られない。,投稿しなければ拡散もない。蒔かぬ種は生えぬ。,ことわざ,1
三人寄れば文殊の知恵,さんにんよればもんじゅのちえ,凡人でも相談すれば良い知恵が出る。,難題は三人寄れば文殊の知恵で解決した。,ことわざ,13
朝令暮改,ちょうれいぼかい,方針が頻繁に変わることのたとえ。,朝令暮改では現場が混乱する。,ことわざ,12
明鏡止水の心,めいきょうしすいのこころ,曇りのない穏やかな心境。,明鏡止水の心で試合に臨む。,ことわざ,11
目は口ほどに物を言う,めはくちほどにものをいう,目つきには言葉に劣らない表現力がある。,彼の目は口ほどに物を言う。,ことわざ,2
目の敵にする,めのかたきにする,ひどく嫌って排斥しようとする。,彼を目の敵にするのはやめよう。,ことわざ,2
門戸を叩く,もんこをたたく,入門や参加を求める。,名門ラボの門戸を叩いた。,ことわざ,3
焼き畑農業,やきはたのうぎょう,目先の利益に頼り持続性を欠く手法のたとえ。,値引き頼みは焼き畑農業だ。,ことわざ,7
山より大きな猪は出ぬ,やまよりおおきないのししはでぬ,想像できる範囲を超えたことは起こらない。,最悪想定内だ。山より大きな猪は出ぬ。,ことわざ,5
藪から棒,やぶからぼう,突然に物事が起こるさま。,藪から棒の問い合わせに驚いた。,ことわざ,4
明日は我が身,あすはわがみ,他人の不幸はいつ自分に降りかかるか分からない。,事故は明日は我が身。安全運転を心がけよう。,ことわざ,10
石橋を叩いて渡る,いしばしをたたいてわたる,用心深く物事を進める。,本番前は石橋を叩いて渡る姿勢で検証する。,ことわざ,12
牛に対して琴を弾ず,うしにたいしてことをひく,道理の分からない者に説いても無駄だという意。,彼に専門理論は早い。牛に対して琴を弾ずだ。,ことわざ,3
海老で鯛を釣る,えびでたいをつる,小さな投資で大きな利益を得る。,試供品がヒット、海老で鯛を釣った。,ことわざ,7
縁は異なもの,えんはいなもの,縁は不思議なものだ。,同級生と再会、縁は異なものだ。,ことわざ,9
大船に乗った気持ち,おおぶねにのったきもち,安心して任せられる。,経験豊富なチームで大船に乗った気持ちだ。,ことわざ,13
鬼の目にも涙,おにのめにもなみだ,無情な人でも情にほだされることがある。,厳格な上司も鬼の目にも涙だった。,ことわざ,2
親しき仲にも礼儀あり,したしきなかにもれいぎあり,親しい間柄でも礼儀を守るべき。,親しき仲にも礼儀あり、敬語を忘れない。,ことわざ,10
勝てば官軍負ければ賊軍,かてばかんぐんまければぞくぐん,勝敗が評価を決めてしまうこと。,市場は厳しい。勝てば官軍負ければ賊軍だ。,ことわざ,4
角を矯めて牛を殺す,つのをためてうしをころす,小さな欠点を直そうとして全体を損なう。,細部に固執して納期を逃すのは角を矯めて牛を殺す。,ことわざ,10
壁に耳あり障子に目あり,かべにみみありしょうじにめあり,どこで誰が聞いているか分からないという戒め。,内密の話は場所を選べ。壁に耳あり障子に目あり。,ことわざ,10
蛙の子は蛙,かえるのこはかえる,子は親に似る。,彼も数学が得意、蛙の子は蛙だ。,ことわざ,9
枯れ木も山の賑わい,かれきもやまのにぎわい,つまらないものでも数がそろえば賑やかになる。,寄せ書きは枯れ木も山の賑わいだ。,ことわざ,13
餌を見て鶴を捕る,えさをみてつるをとる,小利で大利を得るたとえ。,小さな値引きで大型契約、餌を見て鶴を捕るだ。,ことわざ,7
木に竹を接ぐ,きにたけをつぐ,不釣り合いで調和しないこと。,旧式UIに最新機能は木に竹を接ぐ。,ことわざ,11
木に縁りて魚を求む,きによってうおをもとむ,方法が根本的に間違っているたとえ。,間違った指標で評価するのは木に縁りて魚を求むだ。,ことわざ,3
口は禍の門,くちはわざわいのもん,不用意な言葉が災いを招く。,SNSでの発言は慎重に。口は禍の門だ。,ことわざ,10
芸は身を助く,げいはみをたすく,身につけた技能はいつか役に立つ。,英語が交渉で役立った。芸は身を助く。,ことわざ,11
犬猿の仲,けんえんのなか,非常に仲が悪い関係。,彼らは昔から犬猿の仲だ。,ことわざ,2
後悔先に立たず,こうかいさきにたたず,後から悔やんでも取り返しがつかない。,バックアップを忘れ、後悔先に立たず。,ことわざ,4
弘法も筆の誤り,こうぼうもふでのあやまり,名人でも失敗はある。,入力ミスは弘法も筆の誤りだ。,ことわざ,4
言うは易く行うは難し,いうはやすくおこなうはかたし,口で言うのは簡単だが実行は難しい。,計画だけでは駄目だ。言うは易く行うは難し。,ことわざ,12
急いては事を仕損じる,せいてはことをしそんじる,急ぎすぎると失敗しやすい。,検証省略は危険。急いては事を仕損じる。,ことわざ,5
一寸先は闇,いっすんさきはやみ,将来は予測できない。,市場は一寸先は闇、リスク分散が必要だ。,ことわざ,5
薄利多売,はくりたばい,利益を薄くして大量に売る商法。,薄利多売は規模が必要だ。,ことわざ,7
花より団子,はなよりだんご,見栄えより実利を重んじる。,豪華さより使い勝手、花より団子だ。,ことわざ,7
人の振り見て我が振り直せ,ひとのふりみてわがふりなおせ,他人の失敗を見て自分を改めよ。,会議での態度を反省、人の振り見て我が振り直せだ。,ことわざ,10
火事場の馬鹿力,かじばのばかぢから,窮地で普段以上の力を出すこと。,締切前は火事場の馬鹿力で乗り切った。,ことわざ,12
下戸の建てた蔵はない,げこのたてたくらはない,酒席の付き合いも商売には必要という皮肉。,懇親会は大事だ。下戸の建てた蔵はないと言う。,ことわざ,7
鬼の居ぬ間に洗濯,おにのいぬまにせんたく,気詰まりな人がいない間にくつろぐ。,部長不在で、鬼の居ぬ間に洗濯だ。,ことわざ,8
覆面を脱ぐ,ふくめんをぬぐ,本心や正体を現すたとえ。,彼はついに覆面を脱いだ。,ことわざ,2
頭隠して尻隠さず,あたまかくしてしりかくさず,一部を隠しても全体は隠しきれない。,改ざんはすぐ露見、頭隠して尻隠さずだ。,ことわざ,10
縁の下の力持ち,えんのしたのちからもち,人目につかない所で支える人。,運用チームは縁の下の力持ちだ。,ことわざ,13
雨だれ石を穿つ,あまだれいしをうがつ,小さな努力でも根気よく続ければ成果が出る。,毎朝の音読、雨だれ石を穿つだ。,ことわざ,14
石に漱ぎ流れに枕す,いしにくちすすぎながれにまくらす,負け惜しみを張ること。,言い訳ばかりでは石に漱ぎ流れに枕すだ。,ことわざ,10
雀の涙,すずめのなみだ,ごくわずかな量。,ボーナスは雀の涙だった。,ことわざ,7
蛇足を加える,だそくをくわえる,無用な付け足しをする。,仕様に蛇足を加えるな。,ことわざ,3
立て板に水,たていたにみず,流暢に話すさま。,彼のプレゼンは立て板に水だった。,ことわざ,11
塵芥のごとし,じんかいのごとし,取るに足らないこと。,その問題は塵芥のごとし、無視できる。,ことわざ,3
目の上の瘤,めのうえのこぶ,じゃまになる存在。,彼の存在が目の上の瘤になっている。,ことわざ,2
泣くに泣けぬ,なくになけぬ,嘆いてもどうにもならない。,データ消失は泣くに泣けぬ事態だ。,ことわざ,4
背に腹は代えられぬ,せにはらはかえられぬ,重大なことのためには他を犠牲にせざるを得ない。,納期優先で機能を削るのは背に腹は代えられぬ判断だ。,ことわざ,12
船頭多ければ船山に登る,せんどうおおければふねやまにのぼる,指示する者が多いと物事がまとまらない。,責任者は一人に。船頭多ければ船山に登る。,ことわざ,13
二度手間になる,にどてまになる,手続きが重複して無駄が生じる。,仕様変更は二度手間になる。,ことわざ,3
猫の額,ねこのひたい,非常に狭いさま。,我が家の庭は猫の額ほどだ。,ことわざ,11
年寄りの冷や水,としよりのひやみず,年齢にそぐわない無理をすることを戒める。,徹夜の運転は年寄りの冷や水だ。,ことわざ,8
喉元過ぎれば熱さ忘れる,のどもとすぎればあつさわすれる,苦しみが過ぎると忘れてしまう。,危機後の油断は喉元過ぎれば熱さ忘れるだ。,ことわざ,10
のどから手が出る,のどからてがでる,非常に欲しがるさま。,その人材はのどから手が出るほど欲しい。,ことわざ,7
